Concavity1;Class
0.3;M
0.087;M
0.197;M
0.241;M
0.198;M
0.158;M
0.113;M
0.094;M
0.186;M
0.227;M
0.033;M
0.1;M
0.206;M
0.099;M
0.213;M
0.164;M
0.074;M
0.172;M
0.148;M
0.067;B
0.046;B
0.03;B
0.208;M
0.11;M
0.152;M
0.223;M
0.142;M
0.149;M
0.168;M
0.099;M
0.232;M
0.122;M
0.242;M
0.166;M
0.135;M
0.135;M
0.132;M
0.026;B
0.024;M
0.106;M
0.031;M
0.104;M
0.211;M
0.098;M
0.083;M
0.197;M
0.016;B
0.123;M
0.066;B
0.048;B
0.017;B
0.019;B
0.02;B
0.177;M
0.053;M
0.03;B
0.132;M
0.129;M
0.0010;B
0.021;B
0.011;B
0.03;B
0.214;M
0.06;B
0.113;M
0.127;M
0.022;B
0.037;B
0.313;B
0.037;B
0.108;M
0.086;B
0.169;M
0.078;M
0.034;B
0.098;M
0.069;B
0.168;M
0.375;M
0.039;B
0.046;B
0.117;B
0.334;M
0.194;M
0.042;B
0.134;M
0.12;M
0.147;M
0.06;B
0.1;B
0.031;B
0.112;M
0.033;B
0.04;B
0.17;M
0.146;M
0.025;B
0.0070;B
0.042;B
0.094;M
0.086;M
0.0;B
0.024;B
0.062;B
0.03;B
0.207;M
0.071;B
0.026;B
0.426;M
0.051;B
0.043;B
0.106;B
0.3;B
0.065;B
0.041;B
0.033;B
0.093;B
0.169;M
0.213;M
0.073;M
0.035;B
0.146;M
0.427;M
0.088;B
0.081;B
0.014;B
0.053;M
0.093;M
0.114;B
0.254;M
0.029;B
0.147;M
0.104;M
0.071;B
0.115;M
0.047;M
0.036;B
0.035;B
0.154;M
0.046;B
0.0;B
0.094;M
0.02;B
0.049;B
0.023;B
0.037;B
0.166;M
0.09;B
0.085;B
0.029;B
0.031;B
0.132;B
0.411;B
0.02;B
0.093;B
0.039;B
0.186;M
0.052;B
0.02;B
0.0030;B
0.068;B
0.119;M
0.251;M
0.054;B
0.132;M
0.019;B
0.025;B
0.084;M
0.216;M
0.026;B
0.04;B
0.059;M
0.203;M
0.024;B
0.0;B
0.0;B
0.131;B
0.179;M
0.0020;B
0.0090;B
0.287;M
0.249;M
0.066;M
0.062;B
0.054;M
0.0020;B
0.082;M
0.038;B
0.024;B
0.038;B
0.198;M
0.031;B
0.0;B
0.108;M
0.17;M
0.039;B
0.138;M
0.11;M
0.111;M
0.118;M
0.042;B
0.104;M
0.352;M
0.156;M
0.08;B
0.076;M
0.018;B
0.07;M
0.087;B
0.059;B
0.164;M
0.027;B
0.32;M
0.168;M
0.112;M
0.099;M
0.066;B
0.058;B
0.127;M
0.114;M
0.039;B
0.079;B
0.018;B
0.115;M
0.036;B
0.057;B
0.0070;B
0.065;B
0.054;B
0.17;M
0.191;M
0.016;B
0.0050;B
0.155;M
0.017;B
0.015;B
0.195;M
0.09;M
0.11;B
0.142;M
0.047;B
0.011;B
0.155;B
0.047;B
0.205;M
0.048;B
0.043;B
0.137;B
0.024;B
0.043;B
0.271;M
0.026;B
0.242;M
0.127;M
0.138;M
0.098;M
0.178;M
0.245;M
0.318;M
0.175;M
0.152;M
0.029;M
0.097;M
0.042;M
0.091;M
0.137;M
0.064;B
0.041;B
0.039;B
0.084;B
0.0070;B
0.033;B
0.22;M
0.011;B
0.057;M
0.059;B
0.0010;B
0.08;M
0.02;B
0.045;B
0.192;M
0.022;B
0.163;M
0.195;M
0.112;B
0.0020;B
0.066;B
0.023;B
0.093;B
0.024;B
0.136;B
0.059;B
0.062;B
0.027;B
0.013;B
0.011;B
0.012;B
0.027;M
0.025;B
0.025;B
0.22;M
0.068;B
0.228;M
0.023;B
0.033;B
0.02;B
0.0010;B
0.0040;B
0.0030;B
0.0050;B
0.016;B
0.014;B
0.041;B
0.014;B
0.0;B
0.0040;B
0.011;B
0.113;M
0.198;B
0.013;B
0.067;B
0.116;M
0.038;B
0.256;M
0.02;B
0.032;B
0.018;B
0.0020;B
0.148;M
0.18;M
0.12;M
0.071;B
0.0050;B
0.0010;B
0.0080;B
0.151;M
0.037;B
0.106;M
0.025;B
0.231;M
0.08;B
0.084;B
0.054;B
0.186;M
0.04;B
0.036;B
0.0080;B
0.046;B
0.026;B
0.012;B
0.0080;B
0.291;M
0.337;M
0.124;M
0.045;B
0.103;B
0.096;B
0.015;B
0.047;B
0.027;B
0.0010;B
0.033;B
0.027;B
0.059;B
0.022;B
0.098;M
0.164;M
0.044;B
0.117;M
0.245;M
0.181;M
0.034;B
0.193;M
0.153;M
0.026;B
0.067;B
0.228;B
0.013;B
0.042;B
0.169;M
0.079;B
0.035;B
0.079;B
0.059;B
0.051;B
0.084;M
0.068;B
0.02;B
0.101;B
0.186;M
0.019;B
0.0;B
0.189;M
0.281;M
0.048;B
0.027;B
0.086;B
0.074;B
0.027;B
0.029;B
0.319;M
0.026;B
0.041;B
0.033;B
0.021;B
0.049;B
0.055;B
0.061;B
0.12;M
0.032;B
0.028;B
0.03;B
0.037;B
0.069;B
0.047;M
0.026;B
0.02;B
0.152;M
0.024;B
0.0090;B
0.055;B
0.145;B
0.071;B
0.097;B
0.0090;B
0.0020;B
0.063;B
0.036;B
0.014;B
0.014;B
0.273;M
0.077;B
0.213;M
0.159;M
0.033;B
0.113;M
0.018;B
0.035;B
0.013;B
0.021;B
0.095;B
0.12;M
0.011;B
0.02;B
0.109;M
0.054;B
0.17;M
0.041;B
0.088;B
0.157;M
0.088;B
0.166;M
0.041;B
0.069;B
0.03;B
0.028;B
0.072;B
0.028;B
0.012;B
0.015;B
0.101;M
0.364;M
0.035;B
0.034;B
0.049;B
0.101;B
0.108;B
0.015;B
0.214;M
0.102;B
0.029;B
0.024;B
0.055;B
0.0;B
0.051;B
0.058;B
0.051;B
0.022;B
0.053;B
0.224;M
0.029;B
0.03;B
0.058;B
0.045;B
0.119;B
0.154;B
0.052;B
0.226;M
0.043;B
0.036;M
0.017;B
0.044;B
0.117;M
0.0070;B
0.018;B
0.068;B
0.08;B
0.036;B
0.149;M
0.219;M
0.077;B
0.136;M
0.059;B
0.168;M
0.097;B
0.119;B
0.082;B
0.041;B
0.055;B
0.203;M
0.067;B
0.034;B
0.144;M
0.082;B
0.075;M
0.043;B
0.157;M
0.141;M
0.048;B
0.039;B
0.033;B
0.231;M
0.0050;B
0.054;B
0.023;B
0.026;B
0.042;B
0.03;B
0.101;B
0.038;B
0.053;B
0.042;B
0.018;B
0.152;M
0.053;B
0.208;M
0.146;M
0.045;B
0.0;B
0.093;B
0.067;B
0.101;B
0.041;B
0.03;B
0.037;B
0.03;B
0.01;B
0.044;B
0.023;B
0.015;B
0.0;B
0.048;B
0.02;B
0.04;B
0.062;B
0.06;B
0.0050;B
0.0;B
0.103;B
0.111;B
0.045;B
0.0;B
0.255;M
0.317;M
0.244;M
0.144;M
0.093;M
0.351;M
0.0;B
